school,spell_name,type,circle,mana,damage,damage_type,healing,duration,area,cooldown,effect_1,effect_2,effect_3,gameplay,description,class_name
Dark Magic,Shadow Step,teleport,2,8,,,,,,,,,,Cast to instantly move to target location.,Circle: 2 (8 mana) | [Design] Teleport to shadows (8 tiles),DarkShadowStepSpell
Dark Magic,Shadowform,shapeshift,6,24,,,,,,,,,,Cast on self. Caster transforms into different form with new abilities.,"Circle: 6 (24 mana) | [Design] Become shadow: +50% shadow damage, immune to physical",DarkShadowformSpell
Dark Magic,Soul Burn,dot,4,16,30-50,,,,,,-50 damage,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 4 (16 mana) | [Design] Consumes soul shard, deals 30-50 damage",DarkSoulBurnSpell
Dark Magic,Soul Harvest,aoe_damage,7,28,,,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 7 (28 mana) | [Design] AoE drain, creates soul shards from kills",DarkSoulHarvestSpell
Dark Magic,Summ on Dem on Prince,summon,8,32,,,,,,,,,,Cast to summon creature. Summoned creature fights for you.,Summon Demon Prince - Summon Demon Prince Circle: 8 (32 mana),DarkSummonDemonPrinceSpell
Dark Magic,Summ on Pit Lord,summon,7,28,,,,,,,,,,Cast to summon creature. Summoned creature fights for you.,Summon Pit Lord - Summon Pit Lord Circle: 7 (28 mana),DarkSummonPitLordSpell
Dark Magic,Summ on Succubus,summon,6,24,,,,,,,,,,Cast to summon creature. Summoned creature fights for you.,Summon Succubus - Summon Succubus Circle: 6 (24 mana),DarkSummonSuccubusSpell
Dark Magic,Summ on Voidwalker,summon,4,16,,,,,,,,,,Cast to summon creature. Summoned creature fights for you.,Summon Voidwalker - Summon Voidwalker Circle: 4 (16 mana),DarkSummonVoidwalkerSpell
Dark Magic,Void Collapse,damage,8,32,100-180,,,,,,-180 damage,,,Target enemy and cast to deal 100-180 damage.,"Circle: 8 (32 mana) | [Design] Creates black hole, 10 tiles, pulls enemies in, 100-180 damage",DarkVoidCollapseSpell
Divination,Barrier of Light,damage,4,16,,,,,,,,,,Target enemy and cast to deal  damage.,"Circle: 4 (16 mana) | [Design] Party shield, absorbs 50 damage each",DivinationBarrierofLightSpell
Divination,Chrono Lord,charm,7,28,,,,,,,,,,Target enemy creature. Subject fights for you temporarily.,"Circle: 7 (28 mana) | [Design] Control time: rewind cooldowns, double spell speed",DivinationChronoLordSpell
Divination,Clarity,utility,1,4,,,,30s,,,+5 INT,,,Cast to activate spell effect.,Circle: 1 (4 mana) | [Design] +5 INT for 30s,DivinationClaritySpell
Divination,Cosmic Rift,damage,7,28,55-90,,,,,,-90 damage,,,Target enemy and cast to deal 55-90 damage.,"Circle: 7 (28 mana) | [Design] Creates energy rift, 12 tiles, pulls enemies, 55-90 damage",DivinationCosmicRiftSpell
Divination,Crystal Barrage,aoe_damage,5,20,25-42,energy,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 5 (20 mana) | [Design] 5 tile AoE, 25-42 energy damage",DivinationCrystalBarrageSpell
Divination,Crystal Dart,damage,1,4,5-11,energy,,,,,,,,Target enemy and cast to deal 5-11 damage.,Circle: 1 (4 mana) | [Design] 5-11 energy damage,DivinationCrystalDartSpell
Divination,Crystal Fortress,aoe_damage,6,24,,,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 6 (24 mana) | [Design] AoE shield, 200 HP absorb, reflects damage",DivinationCrystalFortressSpell
Divination,Crystal Maze,utility,8,32,,,,,,,,,,Cast to activate spell effect.,"Circle: 8 (32 mana) | [Design] Traps enemies in crystal labyrinth (20 tiles, 45s)",DivinationCrystalMazeSpell
Divination,Crystal Shield,damage,2,8,,,,,,,,,,Target enemy and cast to deal  damage.,Circle: 2 (8 mana) | [Design] 30 damage absorb shield,DivinationCrystalShieldSpell
Divination,Energy Burst,aoe_damage,3,12,15-26,energy,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 3 (12 mana) | [Design] 3 tile AoE, 15-26 energy damage",DivinationEnergyBurstSpell
Divination,Fate Shift,utility,7,28,,,,,,,,,,Cast to activate spell effect.,Circle: 7 (28 mana) | [Design] Swap HP/mana values with target,DivinationFateShiftSpell
Divination,Fates Thread,damage,5,20,,,,,,,,,,Target enemy and cast to deal  damage.,"Fate's Thread - Fate's Thread Circle: 5 (20 mana) | [Design] Link two allies, share buffs and damage",DivinationFatesThreadSpell
Divination,Foresight,utility,2,8,,,,,,,,,,Cast to activate spell effect.,Circle: 2 (8 mana) | [Design] Next attack against you misses,DivinationForesightSpell
Divination,Glimpse Future,utility,1,4,,,,,,,,,,Cast to activate spell effect.,Circle: 1 (4 mana) | [Design] See enemy's next action,DivinationGlimpseFutureSpell
Divination,Haste Self,utility,2,8,,,,20s,,,,,,Cast to activate spell effect.,Circle: 2 (8 mana) | [Design] +20% attack/cast speed for 20s,DivinationHasteSelfSpell
Divination,Man a Crystal,utility,3,12,,,,,,,,,,Cast to activate spell effect.,Mana Crystal - Mana Crystal Circle: 3 (12 mana),DivinationManaCrystalSpell
Divination,Mass Foresight,buff,7,28,,,,,,,,,,Cast on friendly target or self. Enhances stats or resistances for the duration.,"Circle: 7 (28 mana) | [Design] Party gains ""avoid next attack"" buff",DivinationMassForesightSpell
Divination,Mass Haste,utility,5,20,,,,30s,,,,,,Cast to activate spell effect.,Circle: 5 (20 mana) | [Design] Party +25% speed for 30s,DivinationMassHasteSpell
Divination,Minor Ward,damage,1,4,,,,,,,+10 damage,,,Target enemy and cast to deal  damage.,Circle: 1 (4 mana) | [Design] +10 damage shield,DivinationMinorWardSpell
Divination,Oracle Ascendant,utility,8,32,,,,,,,Instant Cast,,,Cast to activate spell effect.,"Circle: 8 (32 mana) | [Design] See all futures: auto-dodge attacks, instant cast spells, perfect accuracy",DivinationOracleAscendantSpell
Divination,Oracles Sight,utility,4,16,,,,,,,,,,Cast to activate spell effect.,"Oracle's Sight - Oracle's Sight Circle: 4 (16 mana) | [Design] See all enemies within 25 tiles, their HP/mana",DivinationOraclesSightSpell
Divination,Precognition,detection,3,12,,,,,,,,,,Cast to reveal hidden enemies or objects in area.,"Circle: 3 (12 mana) | [Design] See invisible/hidden, detect traps",DivinationPrecognitionSpell
Divination,Prismatic Apocalypse,damage,8,32,80-145,energy,,,,,,,,Target enemy and cast to deal 80-145 damage.,"Circle: 8 (32 mana) | [Design] Screen-wide, 80-145 energy damage, random status effects",DivinationPrismaticApocalypseSpell
Divination,Prismatic Bolt,damage,2,8,10-17,energy,,,,,,,,Target enemy and cast to deal 10-17 damage.,"Circle: 2 (8 mana) | [Design] 10-17 energy damage, rainbow effect",DivinationPrismaticBoltSpell
Divination,Prismatic Spray,damage,4,16,18-32,,,,,,-32 damage,,,Target enemy and cast to deal 18-32 damage.,"Circle: 4 (16 mana) | [Design] Cone, 18-32 damage, random status effects",DivinationPrismaticSpraySpell
Divination,Prismatic Storm,aoe_damage,6,24,35-58,energy,,,8 tile radius,,,,,Cast at location. All enemies in 8 tile radius take damage.,"Circle: 6 (24 mana) | [Design] 8 tile radius, 35-58 energy damage, rainbow explosions",DivinationPrismaticStormSpell
Divination,Prophecy of Doom,damage,6,24,,,,,,,+30% damage,,,Target enemy and cast to deal  damage.,"Circle: 6 (24 mana) | [Design] Mark enemy, allies deal +30% damage to them",DivinationProphecyofDoomSpell
Divination,Temporal Shield,damage,5,20,,,,1s,,,,,,Target enemy and cast to deal  damage.,"Circle: 5 (20 mana) | [Design] When hit, rewind damage (immune for 1s after hit)",DivinationTemporalShieldSpell
Divination,Temporal Slow,slow,3,12,,,,12s,,,Slow,,,Target enemy. Subject's movement and attack speed are reduced for 12 seconds.,Circle: 3 (12 mana) | [Design] Slow enemy 40% for 12s,DivinationTemporalSlowSpell
Divination,Time Stop,paralyze,6,24,,,,5s,,,Freeze,,,Target enemy. Subject is rooted to the ground and cannot move for 5 seconds.,Circle: 6 (24 mana) | [Design] Freeze enemy for 5s (complete disable),DivinationTimeStopSpell
Divination,Time Warp,heal,4,16,,,,,,,,,,Target friendly player or self. Restores health.,"Circle: 4 (16 mana) | [Design] Rewind to position 3s ago, restore HP/mana to that state",DivinationTimeWarpSpell
Divination,Timeless State,damage,8,32,,,,10s,,,,,,Target enemy and cast to deal  damage.,Circle: 8 (32 mana) | [Design] Party becomes immune to damage for 10s,DivinationTimelessStateSpell
Elemental Magic,Apocalypse,dot,8,32,80-140,,,,,,-140 damage,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 8 (32 mana) | [Design] Entire screen, 80-140 damage, burns for 20-35/tick",ElementalApocalypseSpell
Elemental Magic,Avatar of Flame,shapeshift,7,28,,,,,,,,,,Cast on self. Caster transforms into different form with new abilities.,"Circle: 7 (28 mana) | [Design] Ultimate transformation: +100% fire damage, immune to fire, mana costs halved",ElementalAvatarofFlameSpell
Elemental Magic,Cataclysm,aoe_damage,7,28,50-85,,,,AoE,,-85 damage,,,Cast at location. All enemies in area take damage.,"Circle: 7 (28 mana) | [Design] Screen-wide AoE, 50-85 damage, creates lava everywhere",ElementalCataclysmSpell
Elemental Magic,Combustion,dot,5,20,30-50,,,,,,-50 damage,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 5 (20 mana) | [Design] Detonates burning targets, 30-50 damage",ElementalCombustionSpell
Elemental Magic,Ember Burst,damage,2,8,8-15,,,,,,-15 damage,,,Target enemy and cast to deal 8-15 damage.,"Circle: 2 (8 mana) | [Design] Short range cone, 8-15 damage",ElementalEmberBurstSpell
Elemental Magic,Fireball,aoe_damage,2,8,10-18,fire,,,AoE,,,,,Cast at location. All enemies in area take damage.,"Circle: 2 (8 mana) | [Design] 10-18 fire damage, small AoE (2 tiles)",ElementalFireballSpell
Elemental Magic,Flame Bolt,damage,1,4,5-12,fire,,,,,,,,Target enemy and cast to deal 5-12 damage.,Circle: 1 (4 mana) | [Design] 5-12 fire damage,ElementalFlameBoltSpell
Elemental Magic,Flame Pillar,damage,4,16,18-30,,,,,,-30 damage,,,Target enemy and cast to deal 18-30 damage.,"Circle: 4 (16 mana) | [Design] Ground target, 18-30 damage, knockup",ElementalFlamePillarSpell
Elemental Magic,Flame Tempest,dot,6,24,8-15,,,,,,-15 damage,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 6 (24 mana) | [Design] Tornado of fire, moves randomly, 8-15 damage/tick",ElementalFlameTempestSpell
Elemental Magic,Flame Ward,damage,2,8,,,,,,,,,,Target enemy and cast to deal  damage.,Circle: 2 (8 mana) | [Design] Reflects 10 fire damage on melee hits,ElementalFlameWardSpell
Elemental Magic,He at Shield,utility,1,4,,,,,,,,,,Cast to activate spell effect.,Heat Shield - Heat Shield Circle: 1 (4 mana),ElementalHeatShieldSpell
Elemental Magic,Hellfire Nova,aoe_damage,6,24,35-60,,,,8 tile radius,,-60 damage,,,Cast at location. All enemies in 8 tile radius take damage.,"Circle: 6 (24 mana) | [Design] 8 tile radius, 35-60 damage, ignites all",ElementalHellfireNovaSpell
Elemental Magic,Ignite,dot,3,12,,,,,,,,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 3 (12 mana) | [Design] Applies burning DoT (5-10/tick, 10s), spreads to nearby",ElementalIgniteSpell
Elemental Magic,Incinerate,damage,3,12,20-35,fire,,,,,,,,Target enemy and cast to deal 20-35 damage.,"Circle: 3 (12 mana) | [Design] 20-35 fire damage, high single target",ElementalIncinerateSpell
Elemental Magic,Inferno,dot,5,20,15-28,,,8s,6 tile radius,,-28 damage,,,Apply to enemy. Target takes damage over time for 8 seconds.,"Circle: 5 (20 mana) | [Design] 6 tile radius, 15-28 damage/tick for 8s",ElementalInfernoSpell
Elemental Magic,Lav a Flow,utility,5,20,,,,,,,,,,Cast to activate spell effect.,Lava Flow - Lava Flow Circle: 5 (20 mana),ElementalLavaFlowSpell
Elemental Magic,Lav a Puddle,utility,2,8,,,,,,,,,,Cast to activate spell effect.,Lava Puddle - Lava Puddle Circle: 2 (8 mana),ElementalLavaPuddleSpell
Elemental Magic,Magm a Armor,buff,4,16,,,,,,,,,,Cast on friendly target or self. Enhances stats or resistances for the duration.,Magma Armor - Magma Armor Circle: 4 (16 mana),ElementalMagmaArmorSpell
Elemental Magic,Magm a Core,utility,8,32,,,,,,,,,,Cast to activate spell effect.,Magma Core - Magma Core Circle: 8 (32 mana),ElementalMagmaCoreSpell
Elemental Magic,Meteor Strike,damage,4,16,25-40,,,,,,-40 damage,,,Target enemy and cast to deal 25-40 damage.,"Circle: 4 (16 mana) | [Design] Falling meteor, 25-40 damage, leaves lava",ElementalMeteorStrikeSpell
Elemental Magic,Molten Titan Form,shapeshift,6,24,,,,,,,+40 STR,+30 Fire Resist,,Cast on self. Caster transforms into different form with new abilities.,"Circle: 6 (24 mana) | [Design] Transform: +40 STR, +30 Fire Resist, immune to ignite",ElementalMoltenTitanFormSpell
Elemental Magic,Molten Touch,utility,1,4,,,,,,,,,,Cast to activate spell effect.,"Circle: 1 (4 mana) | [Design] Melee fire attack, ignites",ElementalMoltenTouchSpell
Elemental Magic,Phoenix Shield,damage,5,20,,,,,,,,,,Target enemy and cast to deal  damage.,"Circle: 5 (20 mana) | [Design] When taking fatal damage, revive at 30% HP (once)",ElementalPhoenixShieldSpell
Elemental Magic,Primordial Inferno,cure,8,32,,,,30s,,,,,,Target friendly player. Removes negative status effects.,"Circle: 8 (32 mana) | [Design] Ultimate DoT: 25-40/tick for 30s, cannot be removed",ElementalPrimordialInfernoSpell
Elemental Magic,Pyroclasm,aoe_damage,4,16,20-35,,,,4 tile radius,,-35 damage,,,Cast at location. All enemies in 4 tile radius take damage.,"Circle: 4 (16 mana) | [Design] 4 tile radius AoE, 20-35 damage",ElementalPyroclasmSpell
Elemental Magic,Pyroclastic Flow,damage,7,28,60-100,,,,,,-100 damage,,,Target enemy and cast to deal 60-100 damage.,"Circle: 7 (28 mana) | [Design] Massive cone (15 tiles), 60-100 damage, lethal ignite",ElementalPyroclasticFlowSpell
Elemental Magic,Ring of Fire,dot,3,12,3-6,,,,,,-6 damage,,,Apply to enemy. Target takes damage over time for the duration.,"Circle: 3 (12 mana) | [Design] Circle around caster, 3-6 damage/tick, blocks movement",ElementalRingofFireSpell
Elemental Magic,Smoke Screen,utility,1,4,,,,,,,-20% accuracy,,,Cast to activate spell effect.,"Circle: 1 (4 mana) | [Design] Creates obscuring smoke, -20% accuracy",ElementalSmokeScreenSpell
Elemental Magic,Solar Flare,damage,8,32,100-160,,,10s,,,-160 damage,,,Target enemy and cast to deal 100-160 damage.,"Circle: 8 (32 mana) | [Design] Blinds all enemies, 100-160 damage, disarms for 10s",ElementalSolarFlareSpell
Elemental Magic,Summ on Fire Elemental Lord,summon,7,28,,,,,,,,,,Cast to summon creature. Summoned creature fights for you.,Summon Fire Elemental Lord - Summon Fire Elemental Lord Circle: 7 (28 mana),ElementalSummonFireElementalLordSpell
Elemental Magic,Volcanic Eruption,aoe_damage,6,24,40-70,,,,AoE,,-70 damage,,,Cast at location. All enemies in area take damage.,"Circle: 6 (24 mana) | [Design] Ground target, massive AoE (10 tiles), 40-70 damage",ElementalVolcanicEruptionSpell
Elemental Magic,Volcanic Rock,paralyze,3,12,15-25,,,,,,-25 damage,,,Target enemy. Subject is rooted to the ground and cannot move for the duration.,"Circle: 3 (12 mana) | [Design] Hurl boulder, 15-25 damage, stuns 1s",ElementalVolcanicRockSpell
Enchanting,Aegis of Warding,damage,5,20,,,,,,,,,,Target enemy and cast to deal  damage.,Circle: 5 (20 mana) | [Design] Absorbs next 100 damage (120s),EnchantingAegisofWardingSpell
Enchanting,Arcane Shield,buff,1,4,,,,60s,,,,,,Cast on friendly target or self. Enhances stats or resistances for 60 seconds.,Circle: 1 (4 mana) | [Design] +5 armor for 60s,EnchantingArcaneShieldSpell
Enchanting,Archmages Blessing,utility,8,32,,,,,,,,,,Cast to activate spell effect.,"Archmage's Blessing - Archmage's Blessing Circle: 8 (32 mana) | [Design] All enchantments last forever, can stack multiple (60s)",EnchantingArchmagesBlessingSpell
