school,spell_name,type,circle,mana,description,class_name
Dark Magic,Mass Fear,utility,5,20,Mass Fear - Mass Fear Circle: 5 (20 mana),DarkMassFearSpell
Dark Magic,Minor Fear,utility,1,4,Minor Fear - Minor Fear Circle: 1 (4 mana),DarkMinorFearSpell
Dark Magic,Shadow Bolt,utility,1,4,Shadow Bolt - Shadow Bolt Circle: 1 (4 mana),DarkShadowBoltSpell
Dark Magic,Shadow Chains,utility,4,16,Shadow Chains - Shadow Chains Circle: 4 (16 mana),DarkShadowChainsSpell
Dark Magic,Shadow Nova,utility,3,12,Shadow Nova - Shadow Nova Circle: 3 (12 mana),DarkShadowNovaSpell
Dark Magic,Shadow Orb,utility,5,20,Shadow Orb - Shadow Orb Circle: 5 (20 mana),DarkShadowOrbSpell
Dark Magic,Shadow Step,utility,2,8,Shadow Step - Shadow Step Circle: 2 (8 mana),DarkShadowStepSpell
Dark Magic,Shadowform,shapeshift,6,24,Shadowform - Shadowform Circle: 6 (24 mana),DarkShadowformSpell
Dark Magic,Soul Burn,dot,4,16,Soul Burn - Soul Burn Circle: 4 (16 mana),DarkSoulBurnSpell
Dark Magic,Soul Harvest,utility,7,28,Soul Harvest - Soul Harvest Circle: 7 (28 mana),DarkSoulHarvestSpell
Dark Magic,Summon Demon Prince,summon,8,32,Summon Demon Prince - Summon Demon Prince Circle: 8 (32 mana),DarkSummonDemonPrinceSpell
Dark Magic,Summon Pit Lord,summon,7,28,Summon Pit Lord - Summon Pit Lord Circle: 7 (28 mana),DarkSummonPitLordSpell
Dark Magic,Summon Succubus,summon,6,24,Summon Succubus - Summon Succubus Circle: 6 (24 mana),DarkSummonSuccubusSpell
Dark Magic,Summon Voidwalker,summon,4,16,Summon Voidwalker - Summon Voidwalker Circle: 4 (16 mana),DarkSummonVoidwalkerSpell
Dark Magic,Void Collapse,utility,8,32,Void Collapse - Void Collapse Circle: 8 (32 mana),DarkVoidCollapseSpell
Divination,Barrierof Light,utility,4,16,Barrier of Light - Barrier of Light Circle: 4 (16 mana),DivinationBarrierofLightSpell
Divination,Chrono Lord,utility,7,28,Chrono Lord - Chrono Lord Circle: 7 (28 mana),DivinationChronoLordSpell
Divination,Clarity,utility,1,4,Clarity - Clarity Circle: 1 (4 mana),DivinationClaritySpell
Divination,Cosmic Rift,utility,7,28,Cosmic Rift - Cosmic Rift Circle: 7 (28 mana),DivinationCosmicRiftSpell
Divination,Crystal Barrage,utility,5,20,Crystal Barrage - Crystal Barrage Circle: 5 (20 mana),DivinationCrystalBarrageSpell
Divination,Crystal Dart,utility,1,4,Crystal Dart - Crystal Dart Circle: 1 (4 mana),DivinationCrystalDartSpell
Divination,Crystal Fortress,utility,6,24,Crystal Fortress - Crystal Fortress Circle: 6 (24 mana),DivinationCrystalFortressSpell
Divination,Crystal Maze,utility,8,32,Crystal Maze - Crystal Maze Circle: 8 (32 mana),DivinationCrystalMazeSpell
Divination,Crystal Shield,utility,2,8,Crystal Shield - Crystal Shield Circle: 2 (8 mana),DivinationCrystalShieldSpell
Divination,Energy Burst,utility,3,12,Energy Burst - Energy Burst Circle: 3 (12 mana),DivinationEnergyBurstSpell
Divination,Fate Shift,utility,7,28,Fate Shift - Fate Shift Circle: 7 (28 mana),DivinationFateShiftSpell
Divination,Fates Thread,utility,5,20,Fate's Thread - Fate's Thread Circle: 5 (20 mana),DivinationFatesThreadSpell
Divination,Foresight,utility,2,8,Foresight - Foresight Circle: 2 (8 mana),DivinationForesightSpell
Divination,Glimpse Future,utility,1,4,Glimpse Future - Glimpse Future Circle: 1 (4 mana),DivinationGlimpseFutureSpell
Divination,Haste Self,utility,2,8,Haste Self - Haste Self Circle: 2 (8 mana),DivinationHasteSelfSpell
Divination,Mana Crystal,utility,3,12,Mana Crystal - Mana Crystal Circle: 3 (12 mana),DivinationManaCrystalSpell
Divination,Mass Foresight,utility,7,28,Mass Foresight - Mass Foresight Circle: 7 (28 mana),DivinationMassForesightSpell
Divination,Mass Haste,utility,5,20,Mass Haste - Mass Haste Circle: 5 (20 mana),DivinationMassHasteSpell
Divination,Minor Ward,utility,1,4,Minor Ward - Minor Ward Circle: 1 (4 mana),DivinationMinorWardSpell
Divination,Oracle Ascendant,utility,8,32,Oracle Ascendant - Oracle Ascendant Circle: 8 (32 mana),DivinationOracleAscendantSpell
Divination,Oracles Sight,utility,4,16,Oracle's Sight - Oracle's Sight Circle: 4 (16 mana),DivinationOraclesSightSpell
Divination,Precognition,utility,3,12,Precognition - Precognition Circle: 3 (12 mana),DivinationPrecognitionSpell
Divination,Prismatic Apocalypse,utility,8,32,Prismatic Apocalypse - Prismatic Apocalypse Circle: 8 (32 mana),DivinationPrismaticApocalypseSpell
Divination,Prismatic Bolt,utility,2,8,Prismatic Bolt - Prismatic Bolt Circle: 2 (8 mana),DivinationPrismaticBoltSpell
Divination,Prismatic Spray,utility,4,16,Prismatic Spray - Prismatic Spray Circle: 4 (16 mana),DivinationPrismaticSpraySpell
Divination,Prismatic Storm,utility,6,24,Prismatic Storm - Prismatic Storm Circle: 6 (24 mana),DivinationPrismaticStormSpell
Divination,Prophecyof Doom,utility,6,24,Prophecy of Doom - Prophecy of Doom Circle: 6 (24 mana),DivinationProphecyofDoomSpell
Divination,Temporal Shield,utility,5,20,Temporal Shield - Temporal Shield Circle: 5 (20 mana),DivinationTemporalShieldSpell
Divination,Temporal Slow,slow,3,12,Temporal Slow - Temporal Slow Circle: 3 (12 mana),DivinationTemporalSlowSpell
Divination,Time Stop,utility,6,24,Time Stop - Time Stop Circle: 6 (24 mana),DivinationTimeStopSpell
Divination,Time Warp,utility,4,16,Time Warp - Time Warp Circle: 4 (16 mana),DivinationTimeWarpSpell
Divination,Timeless State,utility,8,32,Timeless State - Timeless State Circle: 8 (32 mana),DivinationTimelessStateSpell
Elemental Magic,Apocalypse,utility,8,32,Apocalypse - Apocalypse Circle: 8 (32 mana),ElementalApocalypseSpell
Elemental Magic,Avatarof Flame,utility,7,28,Avatar of Flame - Avatar of Flame Circle: 7 (28 mana),ElementalAvatarofFlameSpell
Elemental Magic,Cataclysm,utility,7,28,Cataclysm - Cataclysm Circle: 7 (28 mana),ElementalCataclysmSpell
Elemental Magic,Combustion,utility,5,20,Combustion - Combustion Circle: 5 (20 mana),ElementalCombustionSpell
Elemental Magic,Ember Burst,utility,2,8,Ember Burst - Ember Burst Circle: 2 (8 mana),ElementalEmberBurstSpell
Elemental Magic,Fireball,utility,2,8,Fireball - Fireball Circle: 2 (8 mana),ElementalFireballSpell
Elemental Magic,Flame Bolt,utility,1,4,Flame Bolt - Flame Bolt Circle: 1 (4 mana),ElementalFlameBoltSpell
Elemental Magic,Flame Pillar,utility,4,16,Flame Pillar - Flame Pillar Circle: 4 (16 mana),ElementalFlamePillarSpell
Elemental Magic,Flame Tempest,utility,6,24,Flame Tempest - Flame Tempest Circle: 6 (24 mana),ElementalFlameTempestSpell
Elemental Magic,Flame Ward,utility,2,8,Flame Ward - Flame Ward Circle: 2 (8 mana),ElementalFlameWardSpell
Elemental Magic,Heat Shield,utility,1,4,Heat Shield - Heat Shield Circle: 1 (4 mana),ElementalHeatShieldSpell
Elemental Magic,Hellfire Nova,utility,6,24,Hellfire Nova - Hellfire Nova Circle: 6 (24 mana),ElementalHellfireNovaSpell
Elemental Magic,Ignite,utility,3,12,Ignite - Ignite Circle: 3 (12 mana),ElementalIgniteSpell
Elemental Magic,Incinerate,utility,3,12,Incinerate - Incinerate Circle: 3 (12 mana),ElementalIncinerateSpell
Elemental Magic,Inferno,utility,5,20,Inferno - Inferno Circle: 5 (20 mana),ElementalInfernoSpell
Elemental Magic,Lava Flow,utility,5,20,Lava Flow - Lava Flow Circle: 5 (20 mana),ElementalLavaFlowSpell
Elemental Magic,Lava Puddle,utility,2,8,Lava Puddle - Lava Puddle Circle: 2 (8 mana),ElementalLavaPuddleSpell
Elemental Magic,Magma Armor,buff,4,16,Magma Armor - Magma Armor Circle: 4 (16 mana),ElementalMagmaArmorSpell
Elemental Magic,Magma Core,utility,8,32,Magma Core - Magma Core Circle: 8 (32 mana),ElementalMagmaCoreSpell
Elemental Magic,Meteor Strike,utility,4,16,Meteor Strike - Meteor Strike Circle: 4 (16 mana),ElementalMeteorStrikeSpell
Elemental Magic,Molten Titan Form,shapeshift,6,24,Molten Titan Form - Molten Titan Form Circle: 6 (24 mana),ElementalMoltenTitanFormSpell
Elemental Magic,Molten Touch,utility,1,4,Molten Touch - Molten Touch Circle: 1 (4 mana),ElementalMoltenTouchSpell
Elemental Magic,Phoenix Shield,utility,5,20,Phoenix Shield - Phoenix Shield Circle: 5 (20 mana),ElementalPhoenixShieldSpell
Elemental Magic,Primordial Inferno,utility,8,32,Primordial Inferno - Primordial Inferno Circle: 8 (32 mana),ElementalPrimordialInfernoSpell
Elemental Magic,Pyroclasm,utility,4,16,Pyroclasm - Pyroclasm Circle: 4 (16 mana),ElementalPyroclasmSpell
Elemental Magic,Pyroclastic Flow,utility,7,28,Pyroclastic Flow - Pyroclastic Flow Circle: 7 (28 mana),ElementalPyroclasticFlowSpell
Elemental Magic,Ringof Fire,utility,3,12,Ring of Fire - Ring of Fire Circle: 3 (12 mana),ElementalRingofFireSpell
Elemental Magic,Smoke Screen,utility,1,4,Smoke Screen - Smoke Screen Circle: 1 (4 mana),ElementalSmokeScreenSpell
Elemental Magic,Solar Flare,utility,8,32,Solar Flare - Solar Flare Circle: 8 (32 mana),ElementalSolarFlareSpell
Elemental Magic,Summon Fire Elemental Lord,summon,7,28,Summon Fire Elemental Lord - Summon Fire Elemental Lord Circle: 7 (28 mana),ElementalSummonFireElementalLordSpell
Elemental Magic,Volcanic Eruption,utility,6,24,Volcanic Eruption - Volcanic Eruption Circle: 6 (24 mana),ElementalVolcanicEruptionSpell
Elemental Magic,Volcanic Rock,utility,3,12,Volcanic Rock - Volcanic Rock Circle: 3 (12 mana),ElementalVolcanicRockSpell
Enchanting,ing Aegisof Warding,utility,5,20,Aegis of Warding - Aegis of Warding Circle: 5 (20 mana),EnchantingAegisofWardingSpell
Enchanting,ing Arcane Shield,utility,1,4,Arcane Shield - Arcane Shield Circle: 1 (4 mana),EnchantingArcaneShieldSpell
Enchanting,ing Archmages Blessing,utility,8,32,Archmage's Blessing - Archmage's Blessing Circle: 8 (32 mana),EnchantingArchmagesBlessingSpell
Enchanting,ing Artifact Empowerment,utility,8,32,Artifact Empowerment - Artifact Empowerment Circle: 8 (32 mana),EnchantingArtifactEmpowermentSpell
Enchanting,ing Detect Magic,detection,1,4,Detect Magic - Detect Magic Circle: 1 (4 mana),EnchantingDetectMagicSpell
Enchanting,ing Disenchant,utility,2,8,Disenchant - Disenchant Circle: 2 (8 mana),EnchantingDisenchantSpell
Enchanting,ing Elemental Barrier,utility,3,12,Elemental Barrier - Elemental Barrier Circle: 3 (12 mana),EnchantingElementalBarrierSpell
Enchanting,ing Enchant Army,utility,7,28,Enchant Army - Enchant Army Circle: 7 (28 mana),EnchantingEnchantArmySpell
Enchanting,ing Enchant Arrows,utility,4,16,Enchant Arrows - Enchant Arrows Circle: 4 (16 mana),EnchantingEnchantArrowsSpell
Enchanting,ing Enchant Party Weapons,utility,5,20,Enchant Party Weapons - Enchant Party Weapons Circle: 5 (20 mana),EnchantingEnchantPartyWeaponsSpell
Enchanting,ing Flaming Weapon,utility,2,8,Flaming Weapon - Flaming Weapon Circle: 2 (8 mana),EnchantingFlamingWeaponSpell
Enchanting,ing Fortify Armor,buff,2,8,Fortify Armor - Fortify Armor Circle: 2 (8 mana),EnchantingFortifyArmorSpell
Enchanting,ing Godly Weapon,utility,7,28,Godly Weapon - Godly Weapon Circle: 7 (28 mana),EnchantingGodlyWeaponSpell
Enchanting,ing Greater Disenchant,utility,7,28,Greater Disenchant - Greater Disenchant Circle: 7 (28 mana),EnchantingGreaterDisenchantSpell
Enchanting,ing Holy Weapon,utility,5,20,Holy Weapon - Holy Weapon Circle: 5 (20 mana),EnchantingHolyWeaponSpell
Enchanting,ing Invincible Armor,buff,8,32,Invincible Armor - Invincible Armor Circle: 8 (32 mana),EnchantingInvincibleArmorSpell
Enchanting,ing Invulnerability,utility,6,24,Invulnerability - Invulnerability Circle: 6 (24 mana),EnchantingInvulnerabilitySpell
Enchanting,ing Legendary Weapon,utility,6,24,Legendary Weapon - Legendary Weapon Circle: 6 (24 mana),EnchantingLegendaryWeaponSpell
Enchanting,ing Lightning Weapon,utility,3,12,Lightning Weapon - Lightning Weapon Circle: 3 (12 mana),EnchantingLightningWeaponSpell
Enchanting,ing Magic Weapon,utility,1,4,Magic Weapon - Magic Weapon Circle: 1 (4 mana),EnchantingMagicWeaponSpell
Enchanting,ing Mass Disenchant,utility,4,16,Mass Disenchant - Mass Disenchant Circle: 4 (16 mana),EnchantingMassDisenchantSpell
Enchanting,ing Mass Enchant Weapons,utility,6,24,Mass Enchant Weapons - Mass Enchant Weapons Circle: 6 (24 mana),EnchantingMassEnchantWeaponsSpell
Enchanting,ing Prismatic Barrier,utility,7,28,Prismatic Barrier - Prismatic Barrier Circle: 7 (28 mana),EnchantingPrismaticBarrierSpell
Enchanting,ing Reflection,utility,4,16,Spell Reflection - Spell Reflection Circle: 4 (16 mana),EnchantingSpellReflectionSpell
Enchanting,ing Runeof Apocalypse,utility,8,32,Rune of Apocalypse - Rune of Apocalypse Circle: 8 (32 mana),EnchantingRuneofApocalypseSpell
Enchanting,ing Runeof Healing,heal,3,12,Rune of Healing - Rune of Healing Circle: 3 (12 mana),EnchantingRuneofHealingSpell
Enchanting,ing Runeof Power,utility,1,4,Rune of Power - Rune of Power Circle: 1 (4 mana),EnchantingRuneofPowerSpell
Enchanting,ing Runeof Protection,utility,2,8,Rune of Protection - Rune of Protection Circle: 2 (8 mana),EnchantingRuneofProtectionSpell
Enchanting,ing Runeof Resurrection,resurrect,6,24,Rune of Resurrection - Rune of Resurrection Circle: 6 (24 mana),EnchantingRuneofResurrectionSpell
Enchanting,ing Runic Empowerment,utility,5,20,Runic Empowerment - Runic Empowerment Circle: 5 (20 mana),EnchantingRunicEmpowermentSpell
Enchanting,ing Sharpen,utility,3,12,Sharpen - Sharpen Circle: 3 (12 mana),EnchantingSharpenSpell
Enchanting,ing Vampiric Weapon,utility,4,16,Vampiric Weapon - Vampiric Weapon Circle: 4 (16 mana),EnchantingVampiricWeaponSpell
Hex Magic,Apocalyptic Hex,heal,8,50,"Apocalyptic Hex - ALL enemies cursed with multiple stacking hexes: -20 all stats, -20 all resists, Deadly Poison, -50% healing, 8-15 damage/tick Circle: 8 (50 mana)",HexApocalypticHexSpell
Hex Magic,Contagious Hex,dot,3,9,"Contagious Hex - Cursed target spreads hex to allies within 3 tiles (-10% attack speed, 3-5 damage/tick) Circle: 3 (9 mana)",HexContagiousHexSpell
Hex Magic,Crippling Curse,debuff,4,11,"Crippling Curse - -20 DEX, -30% movement speed, -20% attack speed Circle: 4 (11 mana)",HexCripplingCurseSpell
Hex Magic,Curseof Mortality,buff,6,20,"Curse of Mortality - Target loses ALL regeneration (HP/Mana/Stam), -20 all resists, -15% max HP Circle: 6 (20 mana)",HexCurseofMortalitySpell
Hex Magic,Curseof Undeath,heal,8,50,"Curse of Undeath - Target becomes cursed undead: heals become damage, holy spells deal double damage, cannot naturally regenerate, +50% poison/curse damage taken Circle: 8 (50 mana)",HexCurseofUndeathSpell
Hex Magic,Curseofthe Hag,shapeshift,7,40,"Curse of the Hag - Target polymorphs into weak form (chicken), -90% damage, -50% movement, cannot cast spells Circle: 7 (40 mana)",HexCurseoftheHagSpell
Hex Magic,Dark Pact,damage,2,6,"Dark Pact - Sacrifice 15% current HP, gain +20% spell damage for duration Circle: 2 (6 mana)",HexDarkPactSpell
Hex Magic,Doomcurse,cure,6,20,"Doomcurse - After 12 seconds, target takes massive damage (100-150) unless dispelled. Cannot be removed by normal means. Circle: 6 (20 mana)",HexDoomcurseSpell
Hex Magic,Drain Essence,heal,4,11,"Drain Essence - Drains 25-40 HP AND 10-20 mana, heals caster for HP amount and restores mana Circle: 4 (11 mana)",HexDrainEssenceSpell
Hex Magic,Enfeeble,damage,2,6,"Enfeeble - -15 STR, -10% physical damage output Circle: 2 (6 mana)",HexEnfeebleSpell
Hex Magic,Evil Eye,utility,1,4,Evil Eye - -5% accuracy Circle: 1 (4 mana),HexEvilEyeSpell
Hex Magic,Hex Storm,slow,6,20,"Hex Storm - Zone pulses random hexes every 2s: curses, poisons, slows, silences Circle: 6 (20 mana)",HexHexStormSpell
Hex Magic,Hexblade Ritual,damage,7,40,"Hexblade Ritual - Caster's spells deal bonus physical damage equal to 50% of spell damage, melee attacks apply hexes Circle: 7 (40 mana)",HexHexbladeRitualSpell
Hex Magic,Hexof Agony,heal,4,11,"Hex of Agony - Whenever target is healed, they take equal damage instead Circle: 4 (11 mana)",HexHexofAgonySpell
Hex Magic,Hexof Frailty,buff,3,9,Hex of Frailty - -10 to all resistances Circle: 3 (9 mana),HexHexofFrailtySpell
Hex Magic,Hexof Silence,utility,5,14,Hex of Silence - Target cannot cast spells (silenced) Circle: 5 (14 mana),HexHexofSilenceSpell
Hex Magic,Life Leech,heal,3,9,"Life Leech - Drains 15-25 HP from target, heals caster for 150% of amount drained Circle: 3 (9 mana)",HexLifeLeechSpell
Hex Magic,Mass Hex,damage,5,14,"Mass Hex - All enemies cursed: -10 all stats, -10% damage, -5 all resists Circle: 5 (14 mana)",HexMassHexSpell
Hex Magic,Necrotic Touch,heal,5,14,"Necrotic Touch - Deals 25-40 damage, reduces healing received by 50% for 20 seconds, applies Deadly Poison Circle: 5 (14 mana)",HexNecroticTouchSpell
Hex Magic,Plague Bearer,dot,4,11,Plague Bearer - Target takes 6-10 poison damage/tick and spreads poison to enemies within 2 tiles Circle: 4 (11 mana),HexPlagueBearerSpell
Hex Magic,Plagueof Sorrows,heal,7,40,"Plague of Sorrows - Contagious mega-plague: 10-18 damage/tick, spreads to anyone within 5 tiles, reduces healing 75% Circle: 7 (40 mana)",HexPlagueofSorrowsSpell
Hex Magic,Poison Touch,dot,2,6,Poison Touch - Applies Greater Poison (5-8 damage/tick) Circle: 2 (6 mana),HexPoisonTouchSpell
Hex Magic,Siphon Life,heal,1,4,"Siphon Life - Drains 6-12 HP from target, heals caster for same amount Circle: 1 (4 mana)",HexSiphonLifeSpell
Hex Magic,Soul Harvest,heal,7,40,"Soul Harvest - Drains 40-65 HP from all enemies, heals caster for total amount drained, grants shield equal to healing Circle: 7 (40 mana)",HexSoulHarvestSpell
Hex Magic,Soul Siphon,heal,5,14,"Soul Siphon - Drains 35-55 HP, heals caster for 200% of amount, grants temporary +10% max HP buff (60s) Circle: 5 (14 mana)",HexSoulSiphonSpell
Hex Magic,Vampiric Aura,heal,6,20,"Vampiric Aura - All damage dealt by caster heals caster for 40% of damage, +15% spell damage Circle: 6 (20 mana)",HexVampiricAuraSpell
Hex Magic,Voodoo Doll,damage,3,9,Voodoo Doll - Links to target - 25% of damage caster takes is reflected to linked target Circle: 3 (9 mana),HexVoodooDollSpell
Hex Magic,Voodoo Mastery,charm,8,50,"Voodoo Mastery - Controls target's actions (charm), can force them to attack allies or cast spells Circle: 8 (50 mana)",HexVoodooMasterySpell
Hex Magic,Wasting Curse,debuff,2,6,Wasting Curse - Target loses 1% max HP every 3 seconds (max 10% loss) Circle: 2 (6 mana),HexWastingCurseSpell
Hex Magic,Weak Curse,debuff,1,4,Weak Curse - -5 to all stats (STR/DEX/INT) Circle: 1 (4 mana),HexWeakCurseSpell
Hex Magic,Witch Queens Dominion,summon,8,50,"Witch Queen's Dominion - Become Witch Queen: All hexes cost 50% less mana, hexes last twice as long, life drain heals 300%, immune to curses/poison, summons 3 hex totems that auto-curse enemies Circle: 8 (50 mana)",HexWitchQueensDominionSpell
Hex Magic,Witch Sight,detection,1,4,"Witch Sight - Reveals hidden creatures, see in darkness, detect magic auras Circle: 1 (4 mana)",HexWitchSightSpell
Ice Magic,Absolute Zero,paralyze,7,40,"Absolute Zero - Ultimate AoE nuke Massive cold damage in large area with freeze and frozen ground Circle: 7th (40 mana) Reagents: Arctic Pearl, Frozen Soul, EternalIce (Vystia reagents)",AbsoluteZeroSpell
Ice Magic,Age,paralyze,8,50,"Ice Age - Screen-wide devastation Everything freezes across massive area Circle: 8th (50 mana) Reagents: Frozen Soul, EternalIce, HeartOfWinter, FrozenOre (Vystia reagents)",IceAgeSpell
Ice Magic,Avalanche,aoe_damage,6,20,"Avalanche - Cone AoE with knockback Massive ice and snow cascade dealing damage and knocking back enemies Circle: 6th (20 mana) Reagents: Permafrost Essence, Arctic Pearl, Frozen Soul (Vystia reagents)",AvalancheSpell
Ice Magic,Blizzard,paralyze,6,20,"Blizzard - AoE ice storm that deals damage over time and slows enemies Circle: 6th (20 mana) Area: 5 tile radius Duration: 10 seconds Reagents: MandrakeRoot, SulfurousAsh, Bloodmoss, SpidersSilk",BlizzardSpell
Ice Magic,Bolt,paralyze,3,9,"Ice Bolt - Basic ice damage spell Deals cold damage and has chance to slow target Circle: 3rd (9 mana) Reagents: MandrakeRoot, SulfurousAsh",IceBoltSpell
Ice Magic,Chill Aura,utility,1,4,Chill Aura - Creates a chilling aura around caster Enemies within 2 tiles have reduced attack speed Circle: 1st (4 mana) Reagents: Winterleaf (Vystia reagent),ChillAuraSpell
Ice Magic,Cocytus Prison,utility,8,50,"Cocytus Prison - Ultimate lockdown Imprisons target in unbreakable ice requiring channel Circle: 8th (50 mana) Reagents: Frozen Soul, EternalIce (3), HeartOfWinter (Vystia reagents)",CocytusPrisonSpell
